龙岗支行,长江东路2号  [地图],长江批发市场对面,对公：随市政府行政上班时间调整对私：冬季：8:00-17:30  夏季：8:00-18:00,0551-67672008
淮南市职大储蓄所,淮南市田家庵区刘家山路  [地图],洞山派出所、淮南职工大学附近。,对私：周一至周日8:00-18:30，无对公业务,0554-6642323
淮南市洞姚路储蓄所,淮南市田家庵区国庆中路291-3#  [地图],银鹭小区，市政府广场斜对面。,对私：周一至周日8:00-18:30，无对公业务,0554-2681130
淮南市光淮储蓄所,淮南市潘集区黄山路33号  [地图],潘集工商局楼下，潘集商贸市场对面。,对私：周一至周日8:00-18:30，无对公业务,0554-4971553
淮南市供电局储蓄所,淮南市田家庵区淮舜南路149#  [地图],市供电局职工住宅区。,对私：周一至周日8:00-18:30，无对公业务,0554-2677076
淮南市振淮分理处,淮南市田家庵区淮滨路152#  [地图],市人民医院对面，公交汽车终点站附近。,对私：周一至周日8:00-18:30，无对公业务,0554-3625481
淮南市泉山分理处,淮南市田家庵区泉山路79#  [地图],化三建职工住宅区,对私：周一至周日8:00-18:30，无对公业务,0554-6651590
淮南市望峰岗分理处,淮南市谢家集区望峰岗南路  [地图],望峰岗机械厂东门,对私：周一至周日8:00-18:30，无对公业务,0554-5811729
淮南市田东分理处,淮南市田家庵区电厂路330#  [地图],田东电厂西,对私：周一至周日8:00-18:30，无对公业务,0554-3625494
淮南八公山支行,淮南市八公山区建北路南15号楼一楼  [地图],,对私：周一至周日8:00-18:30，无对公业务,0554-5614352
淮南平山支行,淮南市谢家集区平山路  [地图],蔡家岗百货大楼西边。,对私：周一至周日8:00-18:30，无对公业务,0554-5716886
淮南朝阳支行,淮南市田家庵区陈洞南路29-7#  [地图],苏果超市对面。,对私：周一至周日8:00-18:30，无对公业务,0554-6652850
淮南淮化支行,淮南市田家庵区泉山路165#  [地图],淮南化肥厂生活区。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-6412987
淮南洛河支行,淮南市大通区洛河镇天河大厦一楼  [地图],洛河电厂南门。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-3611002
淮南龙湖支行,淮南市田家庵区朝阳中路41#  [地图],龙湖中学对面。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-2671591
淮南新集支行,凤台县新集镇创业路  [地图],新集镇政府附近。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-8161656
淮南洞山支行,淮南田家庵区洞山中路26号  [地图],淮南市政府斜对面，市电视大楼正对面。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-6640104
中国建设银行股份有限公司凤台支行,凤台县城关镇中山北路东侧  [地图],人行天桥下。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-8611235
淮南平圩支行,淮南市潘集区平圩镇平圩大道  [地图],平圩镇政府附近。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-4331071
淮南田家庵支行,淮南市田家庵区国庆中路72#  [地图],田家庵区政府对面，人行天桥东20米，四海大厦旁。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-3640485
淮南潘集支行,淮南市潘集区长江路144号  [地图],金格商厦对面。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-4971362
淮南住房建筑业支行,淮南市田家庵区龙湖南路28-5号  [地图],家乐福超市楼下，华联商厦对面。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-2677477
淮南蔡家岗支行,淮南市谢家集区春林大道  [地图],蔡家岗公交终点站东，西城华联商厦附近。,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0554-5689405
沱河分理处,濉溪县虎山南路92号  [地图],濉溪县政府斜对面,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-6077090
三堤口支行,濉溪县淮海路  [地图],淮北矿业集团工程建设公司大门北50米,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-6078859
濉溪支行,濉溪县沱河路68号  [地图],濉溪县消防队隔壁，濉溪四方商场东,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-6078956
纺建支行,淮北市濉溪路中段  [地图],淮北市濉溪路与五马路交叉口南50米路东,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-3012507
长山路分理处,淮北市长山路惠苑路交叉口  [地图],淮北秦妈火锅新概念店斜对面。,周一至周日对私：8：00-17：30,0561-3185162
烈山支行,淮北市烈山区杨庄矿工人村  [地图],杨庄矿医院斜对面。,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-4081055
黎苑支行,淮北市相山路黎苑新村步行街西端  [地图],淮北市市容管理局旁；淮北市政府北100米路东。,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-3191511
开发区支行,淮北市相山南路305号  [地图],淮北联通公司办公大楼一楼；帝景翰园南50米；兆基国际家具城对面。,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-3079706
人民路分理处,淮北市人民路相阳路交叉口  [地图],淮北市行政服务中心服务大厅旁；淮北市招商大厦一楼。,周一至周日对私：8：00-17：30,0561-3112785
古城分理处,淮北市鹰山北路36号  [地图],淮北市石油公司一楼；蓝宇广场斜对面。,周一至周日对私：8：00-17：30,0561-3024117
洪山储蓄所,淮北市教育巷6号  [地图],淮北市人民医院东20米；真棒超市教育巷店隔壁。,周一至周日对私：8：00-17：30,0561-3052314
教育巷分理处,淮北市教育巷20号  [地图],淮北市教育巷东端；原淮海商场后。,周一至周日对私：8：00-11：30 14:30-17:30,0561-3025422
相山支行,淮北市相山北路30号  [地图],淮北市第二实验小学大门南50米；淮北相山路菜场北100米路西。,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-3023891
高岳支行,淮北市相杜路龙山路交叉口  [地图],淮北杜集区国税局对面；杜集区开渠广场东十字路口。,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-4013012
东山路支行,淮北市东山路科苑小区大门旁  [地图],淮北师范大学北100米；淮北特凿公司对面。,周一至周五对公：8：00-11：30 14:30-17:30对私：8:00-17:30周六日对私：8：00-17：30,0561-3090702
